count,time
10,"7,264000032591866E-06"
50,"2,596999934212363E-06"
100,"2,492999897185655E-06"
500,"8,099999604382901E-07"
1000,"1,8419999605612247E-06"
5000,"3,1929999977364787E-06"
10000,"1,2199999446238508E-06"
50000,"2,1390000028986833E-06"
100000,"1,5929999790387228E-06"
500000,"4,701000079876394E-06"
1000000,"7,232999905681936E-06"
5000000,"9,24300002225209E-06"
10000000,"8,230999810621142E-06"
