count,time
10,"8,384000011574244E-06"
50,"2,6320000188206905E-06"
100,"1,2990000186619E-06"
500,"3,405000029488292E-06"
1000,"2,5109999342021183E-06"
5000,"1,5069999790284783E-06"
10000,"1,3809999472869094E-06"
50000,"3,0950000109442044E-06"
100000,"5,3139999636186985E-06"
500000,"6,250999945223157E-06"
1000000,"1,0694000025068817E-05"
5000000,"1,2160999972365971E-05"
10000000,"1,1474999951133213E-05"
